Rk,Player,Team,W,L,W/L%,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Prob%
1,Nikola JokiÄ‡,DEN,9,5,.643,13,13,32.2,10.3,17.4,.593,1.7,4.4,.386,8.6,13.0,.663,.642,3.8,5.1,.742,2.8,11.0,13.8,6.3,1.3,0.9,3.4,2.9,26.1,,43.2%
2,Stephen Curry,GSW,11,2,.846,13,13,33.8,9.0,20.4,.442,5.2,13.3,.387,3.8,7.1,.543,.568,4.9,5.2,.955,0.8,5.5,6.2,6.7,1.7,0.7,3.3,1.5,28.1,,24.0%
3,Kevin Durant,BRK,10,4,.714,14,14,34.6,11.0,18.8,.586,2.0,4.7,.424,9.0,14.1,.640,.639,5.6,6.7,.840,0.4,7.9,8.4,5.1,0.6,0.6,3.2,1.2,29.6,,15.4%
4,Jimmy Butler,MIA,9,5,.643,11,11,33.0,8.0,15.2,.527,0.5,1.5,.294,7.5,13.6,.553,.542,7.2,8.5,.849,1.7,3.7,5.5,5.1,2.1,0.4,1.9,2.0,23.6,,4.4%
5,Montrezl Harrell,WAS,10,3,.769,13,2,28.5,6.5,10.2,.636,0.1,0.5,.167,6.4,9.7,.659,.640,5.0,6.2,.813,2.2,6.3,8.5,2.5,0.6,1.0,1.2,2.2,18.0,,3.7%
6,Chris Paul,PHO,10,3,.769,13,13,31.8,5.2,10.7,.489,1.1,2.8,.378,4.2,7.8,.529,.540,3.2,3.7,.854,0.5,3.7,4.2,10.2,2.6,0.5,2.4,1.9,14.7,,3.4%
7,DeMar DeRozan,CHI,10,4,.714,14,14,35.3,9.6,18.8,.510,0.9,2.5,.371,8.6,16.3,.531,.534,6.9,7.9,.873,0.8,4.6,5.4,4.1,0.9,0.4,1.9,2.3,26.9,,2.5%
8,James Harden,BRK,10,4,.714,14,14,34.4,5.9,13.9,.426,3.0,7.6,.393,2.9,6.3,.466,.533,4.6,5.4,.855,1.1,6.6,7.6,9.3,1.2,0.8,4.9,2.3,19.5,,1.5%
9,Rudy Gobert,UTA,8,5,.615,13,13,31.2,5.1,7.1,.717,0.0,0.0,,5.1,7.1,.717,.717,4.8,7.1,.674,3.2,12.1,15.3,0.8,1.2,1.7,2.2,2.6,14.9,,1.0%
10,Giannis Antetokounmpo,MIL,6,8,.429,13,13,32.9,9.5,19.3,.490,1.3,4.7,.279,8.2,14.6,.558,.524,6.3,9.3,.678,1.8,9.5,11.3,6.0,1.1,1.7,3.0,3.2,26.5,,0.7%
